Data;Dia;Estádio;Tricolor;Pl1;Pl2;Adversário;Campeonato;Setor;Vídeo
31/10/2021;31/10/2021;Morumbi;São Paulo F.C.;1;0;Internacional;Brasileiro;Arquibancada;https://www.youtube.com/watch?v=_sfOVwRrIfs
14/11/2021;14/11/2021;Morumbi;São Paulo F.C.;0;4;Flamengo;Brasileiro;Numerada;https://www.youtube.com/watch?v=ZzHAFwtMA5c
24/11/2021;24/11/2021;Morumbi;São Paulo F.C.;0;0;Athletico-PR;Brasileiro;Arquibancada;https://www.youtube.com/watch?v=_KEsgkSy9F0
06/12/2021;06/12/2021;Morumbi;São Paulo F.C.;3;1;Juventude;Brasileiro;Arquibancada;https://www.youtube.com/watch?v=mZx1d6YUNgE
17/02/2022;17/02/2022;Morumbi;São Paulo F.C.;0;0;Inter de Limeira;Paulista;Arquibancada;https://www.youtube.com/watch?v=km17u7m6TWE
16/03/2022;16/03/2022;Morumbi;São Paulo F.C.;2;0;Manaus;Copa do Brasil;Arquibancada;https://www.youtube.com/watch?v=BrdHzQGQ1Mw
19/03/2022;19/03/2022;Morumbi;São Paulo F.C.;2;1;Botafogo-SP;Paulista;Arquibancada;https://www.youtube.com/watch?v=O6L_lXVNLh0
22/03/2022;22/03/2022;Morumbi;São Paulo F.C.;4;1;São Bernardo;Paulista;Arquibancada;https://www.youtube.com/watch?v=ZfrjalHJbmA
30/03/2022;30/03/2022;Morumbi;São Paulo F.C.;3;1;Palmeiras;Paulista;Arquibancada;https://www.youtube.com/watch?v=ZPjWPEpSW_A
10/04/2022;10/04/2022;Morumbi;São Paulo F.C.;4;0;Athletico-PR;Brasileiro;Arquibancada;https://www.youtube.com/watch?v=d4wJKwL46Cw
14/04/2022;14/04/2022;Morumbi;São Paulo F.C.;2;0;Everton-CHI;Sul-Americana;Arquibancada;https://www.youtube.com/watch?v=eEtoY_aHJG4
02/05/2022;02/05/2022;Morumbi;São Paulo F.C.;2;1;Santos;Brasileiro;Arquibancada;https://www.youtube.com/watch?v=_8YAdx9MXnw
15/05/2022;15/05/2022;Morumbi;São Paulo F.C.;2;1;Cuiabá;Brasileiro;Arquibancada;https://www.youtube.com/watch?v=8MBeTyenz9U
19/05/2022;19/05/2022;Morumbi;São Paulo F.C.;3;0;Jorge Wilstermann-BOL;Sul-Americana;Arquibancada;https://www.youtube.com/watch?v=CgtyAIt6GFQ
